+-----------+--------------------------+--------------------------+----------+-----------+---------+---------------------+---------------------+------------+---------+---------+---------+----------+----------+----------+----------+----------+----------+----------+----------+--------+--------+-------+------+------+------+
| serial_no | kintex_a_id              | kintex_b_id              | batch_id | db_status | burn_in | burn_in_start       | burn_in_stop        | burn_in_op | kin_lot | pro_lot | gbt_lot | ina_lot  | ltm_lot  | mos_lot  | op4_lot  | ok4_lot  | ok1_lot  | mem_lot  | sfp_lot  | e_test | p_test | a0    | a1   | b0   | b1   |
|   1101036 | 40020001017166292CE1A285 | 40020001017166292D314145 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0490  | 0491 | 0492 | 0493 |
|   1101037 | 40020001017166292D3141C5 | 40020001017166292D106345 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0374  | 0375 | 0376 | 0364 |
|   1101038 | 40020001017166292CE16345 | 40020001017166292CE1A205 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0278  | 0279 | 0280 | 0281 |
|   1101039 | 40020001017166292D106445 | 40020001017166292CE16245 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0445  | 0446 | 0447 | 0448 |
|   1101040 | 40020001017166292D1062C5 | 40020001017166292CE16585 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0290  | 0291 | 0292 | 0293 |
|   1101041 | 40020001017166292D106245 | 40020001017166292CE163C5 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0048  | 0049 | 0050 | 0051 |
|   1101042 | 40020001017166292CF0C285 | 40020001017166292CA16305 |        4 |         1 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0044  | 0045 | 0046 | 0047 |
|   1101043 | 40020001017166292CE145C5 | 40020001017166292CE1A505 |        4 |         1 |       1 | 2026-04-17 18:00:00 | 2026-04-23 13:20:00 | CC+DD      | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0368  | 0367 | 0366 | 0365 |
|   1101044 | 40020001017166292D30E605 | 40020001017166292D30E545 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0274  | 0275 | 0276 | 0277 |
|   1101045 | 40020001017166292D30E185 | 40020001017166292D30C185 |        4 |         0 |       0 | NULL                | NULL                | NULL       | 2345    | D2548   | GBTX01  | 2434     | 2525     | 2137     | F5       | 2510     | 2437     | 2512     | FXP96S   |      1 |      1 | 0344  | 0345 | 0346 | 0347 |
